"NAME","state","SDLEA","B19013..Median.Household.Income.in.the.Past.12.Months..in.2015.Inflation.Adjusted.Dollars...Median.household.income.in.the.past.12.months..in.2015.Inflation.adjusted.dollars."
"Palmer School District, Massachusetts",25,"09300",51376
"Peabody School District, Massachusetts",25,"09360",60596
"Pembroke School District, Massachusetts",25,"09420",90790
"Pentucket School District, Massachusetts",25,"09450",94231
"Pioneer Valley School District, Massachusetts",25,"09600",62690
"Pittsfield School District, Massachusetts",25,"09630",43916
"Plymouth School District, Massachusetts",25,"09720",76835
"Provincetown School District, Massachusetts",25,"09840",36958
"Quincy School District, Massachusetts",25,"09870",64155
"Randolph School District, Massachusetts",25,"09930",63681
"Reading School District, Massachusetts",25,"09990",107654
"Revere School District, Massachusetts",25,"10050",50886
"Rockland School District, Massachusetts",25,"10170",69247
"Rockport School District, Massachusetts",25,"10200",64839
"Salem School District, Massachusetts",25,"10380",60690
"Sandwich School District, Massachusetts",25,"10470",83305
"Saugus School District, Massachusetts",25,"10500",77371
"Scituate School District, Massachusetts",25,"10560",102210
"Seekonk School District, Massachusetts",25,"10590",76826
"Sharon School District, Massachusetts",25,"10620",124444
"Shrewsbury School District, Massachusetts",25,"10770",94017
"Somerville School District, Massachusetts",25,"10890",73106
"South Hadley School District, Massachusetts",25,"10920",60427
"Southbridge School District, Massachusetts",25,"11010",43870
"Southern Berkshire School District, Massachusetts",25,"11040",63638
"Springfield School District, Massachusetts",25,"11130",34728
"Stoneham School District, Massachusetts",25,"11220",78099
"Stoughton School District, Massachusetts",25,"11250",76179
"Sutton School District, Massachusetts",25,"11400",108615
"Swampscott School District, Massachusetts",25,"11430",98612
"Swansea School District, Massachusetts",25,"11460",73168
"Taunton School District, Massachusetts",25,"11520",53058
"Tewksbury School District, Massachusetts",25,"11580",90484
"Triton School District, Massachusetts",25,"11740",82989
"Tyngsborough School District, Massachusetts",25,"11760",106290
"Uxbridge School District, Massachusetts",25,"11850",89703
"Wachusett School District, Massachusetts",25,"11880",96851
"Wakefield School District, Massachusetts",25,"11910",85573
"Walpole School District, Massachusetts",25,"11970",97630
"Waltham School District, Massachusetts",25,"12000",75205
"Ware School District, Massachusetts",25,"12030",47513
"Wareham School District, Massachusetts",25,"12060",58728
"Quaboag Regional School District, Massachusetts",25,"12100",50721
"Watertown School District, Massachusetts",25,"12180",87409
"Wayland School District, Massachusetts",25,"12210",145266
"Webster School District, Massachusetts",25,"12240",48057
"Wellesley School District, Massachusetts",25,"12270",163454
"West Boylston School District, Massachusetts",25,"12390",68673
"West Bridgewater School District, Massachusetts",25,"12420",81119
"West Springfield School District, Massachusetts",25,"12510",54585
"Westborough School District, Massachusetts",25,"12600",101467
"Westfield School District, Massachusetts",25,"12630",61053
"Westford School District, Massachusetts",25,"12660",121591
"Weston School District, Massachusetts",25,"12750",199519
"Westport School District, Massachusetts",25,"12780",79841
"Westwood School District, Massachusetts",25,"12810",135884
"Weymouth School District, Massachusetts",25,"12840",69123
"Whitman-Hanson School District, Massachusetts",25,"12930",81038
"Wilmington School District, Massachusetts",25,"13050",100862
"Winchendon School District, Massachusetts",25,"13080",59661
"Winchester School District, Massachusetts",25,"13110",143017
"Winthrop School District, Massachusetts",25,"13170",61919
"Woburn School District, Massachusetts",25,"13200",78750
"Worcester School District, Massachusetts",25,"13230",45472
"Remainder of Massachusetts, Massachusetts",25,"99999",86002
